source,pages,vertices,edges,tikz,tex,svg_structural,json,dot,mermaid,drawio_svg,png,pdf,graphviz_svg,drawio_svg_exists,png_exists,pdf_exists,graphviz_svg_exists
260407-adder-fnd.drawio,1,24,6,tikz/260407-adder-fnd.tikz,tex/260407-adder-fnd.tex,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/svg/260407-adder-fnd.structural.svg,json/260407-adder-fnd.json,dot/260407-adder-fnd.dot,mermaid/260407-adder-fnd.mmd,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/svg/260407-adder-fnd.drawio.svg,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/png/260407-adder-fnd.png,pdf/260407-adder-fnd.pdf,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/graphviz-svg/260407-adder-fnd.svg,yes,yes,yes,yes
260408-clock-diagram.drawio,4,81,35,tikz/260408-clock-diagram.tikz,tex/260408-clock-diagram.tex,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/svg/260408-clock-diagram.structural.svg,json/260408-clock-diagram.json,dot/260408-clock-diagram.dot,mermaid/260408-clock-diagram.mmd,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/svg/260408-clock-diagram.drawio.svg,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/png/260408-clock-diagram.png,pdf/260408-clock-diagram.pdf,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/graphviz-svg/260408-clock-diagram.svg,yes,yes,yes,yes
260409-counter-10000.drawio,1,19,12,tikz/260409-counter-10000.tikz,tex/260409-counter-10000.tex,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/svg/260409-counter-10000.structural.svg,json/260409-counter-10000.json,dot/260409-counter-10000.dot,mermaid/260409-counter-10000.mmd,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/svg/260409-counter-10000.drawio.svg,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/png/260409-counter-10000.png,pdf/260409-counter-10000.pdf,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/graphviz-svg/260409-counter-10000.svg,yes,yes,yes,yes
260410-control-unit.drawio,1,26,6,tikz/260410-control-unit.tikz,tex/260410-control-unit.tex,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/svg/260410-control-unit.structural.svg,json/260410-control-unit.json,dot/260410-control-unit.dot,mermaid/260410-control-unit.mmd,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/svg/260410-control-unit.drawio.svg,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/png/260410-control-unit.png,pdf/260410-control-unit.pdf,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/graphviz-svg/260410-control-unit.svg,yes,yes,yes,yes
260414-mealy-moore.drawio,2,29,20,tikz/260414-mealy-moore.tikz,tex/260414-mealy-moore.tex,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/svg/260414-mealy-moore.structural.svg,json/260414-mealy-moore.json,dot/260414-mealy-moore.dot,mermaid/260414-mealy-moore.mmd,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/svg/260414-mealy-moore.drawio.svg,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/png/260414-mealy-moore.png,pdf/260414-mealy-moore.pdf,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/graphviz-svg/260414-mealy-moore.svg,yes,yes,yes,yes
260414-project-counter-10000.drawio,2,59,25,tikz/260414-project-counter-10000.tikz,tex/260414-project-counter-10000.tex,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/svg/260414-project-counter-10000.structural.svg,json/260414-project-counter-10000.json,dot/260414-project-counter-10000.dot,mermaid/260414-project-counter-10000.mmd,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/svg/260414-project-counter-10000.drawio.svg,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/png/260414-project-counter-10000.png,pdf/260414-project-counter-10000.pdf,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/graphviz-svg/260414-project-counter-10000.svg,yes,yes,yes,yes
260415-btn-debounce.drawio,2,63,28,tikz/260415-btn-debounce.tikz,tex/260415-btn-debounce.tex,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/svg/260415-btn-debounce.structural.svg,json/260415-btn-debounce.json,dot/260415-btn-debounce.dot,mermaid/260415-btn-debounce.mmd,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/svg/260415-btn-debounce.drawio.svg,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/png/260415-btn-debounce.png,pdf/260415-btn-debounce.pdf,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/graphviz-svg/260415-btn-debounce.svg,yes,yes,yes,yes
260420-debouncer.drawio,1,28,25,tikz/260420-debouncer.tikz,tex/260420-debouncer.tex,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/svg/260420-debouncer.structural.svg,json/260420-debouncer.json,dot/260420-debouncer.dot,mermaid/260420-debouncer.mmd,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/svg/260420-debouncer.drawio.svg,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/png/260420-debouncer.png,pdf/260420-debouncer.pdf,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/graphviz-svg/260420-debouncer.svg,yes,yes,yes,yes
260420-display-select-logic-display.drawio,1,13,6,tikz/260420-display-select-logic-display.tikz,tex/260420-display-select-logic-display.tex,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/svg/260420-display-select-logic-display.structural.svg,json/260420-display-select-logic-display.json,dot/260420-display-select-logic-display.dot,mermaid/260420-display-select-logic-display.mmd,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/svg/260420-display-select-logic-display.drawio.svg,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/png/260420-display-select-logic-display.png,pdf/260420-display-select-logic-display.pdf,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/graphviz-svg/260420-display-select-logic-display.svg,yes,yes,yes,yes
260420-display-select-logic.drawio,1,0,0,tikz/260420-display-select-logic.tikz,tex/260420-display-select-logic.tex,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/svg/260420-display-select-logic.structural.svg,json/260420-display-select-logic.json,dot/260420-display-select-logic.dot,mermaid/260420-display-select-logic.mmd,,,,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/graphviz-svg/260420-display-select-logic.svg,no,no,no,yes
